Executions,TimeMillis,Category,Scenery
10,587,concurrent,1
10,501,concurrent,1
10,461,concurrent,1
10,466,concurrent,1
10,467,concurrent,1
10,460,concurrent,1
10,512,concurrent,1
10,455,concurrent,1
10,456,concurrent,1
10,456,concurrent,1
10,469,concurrent,1
10,514,concurrent,1
10,449,concurrent,1
10,447,concurrent,1
10,440,concurrent,1
10,454,concurrent,1
10,440,concurrent,1
10,454,concurrent,1
10,446,concurrent,1
10,449,concurrent,1
100,1163,concurrent,2
100,1158,concurrent,2
100,3494,concurrent,2
100,1568,concurrent,2
100,1773,concurrent,2
100,1098,concurrent,2
100,2066,concurrent,2
100,2149,concurrent,2
100,2413,concurrent,2
100,1992,concurrent,2
100,1817,concurrent,2
100,1568,concurrent,2
100,1851,concurrent,2
100,1221,concurrent,2
100,2057,concurrent,2
100,2086,concurrent,2
100,2101,concurrent,2
100,1174,concurrent,2
100,2197,concurrent,2
100,2221,concurrent,2
200,2247,concurrent,3
200,2549,concurrent,3
200,1887,concurrent,3
200,2083,concurrent,3
200,1913,concurrent,3
200,2537,concurrent,3
200,3702,concurrent,3
200,2482,concurrent,3
200,2461,concurrent,3
200,2673,concurrent,3
200,2469,concurrent,3
200,2058,concurrent,3
200,2612,concurrent,3
200,2258,concurrent,3
200,2531,concurrent,3
200,3888,concurrent,3
200,2549,concurrent,3
200,2279,concurrent,3
200,2517,concurrent,3
200,2448,concurrent,3
500,4371,concurrent,4
500,4944,concurrent,4
500,4715,concurrent,4
500,5303,concurrent,4
500,5307,concurrent,4
500,4824,concurrent,4
500,5320,concurrent,4
500,5027,concurrent,4
500,4470,concurrent,4
500,4502,concurrent,4
500,23227,concurrent,4
500,4633,concurrent,4
500,4252,concurrent,4
500,4337,concurrent,4
500,4347,concurrent,4
500,4091,concurrent,4
500,4173,concurrent,4
500,22540,concurrent,4
500,4317,concurrent,4
500,4345,concurrent,4
1000,8774,concurrent,5
1000,8418,concurrent,5
1000,8202,concurrent,5
1000,8596,concurrent,5
1000,8172,concurrent,5
1000,8231,concurrent,5
1000,8212,concurrent,5
1000,8234,concurrent,5
1000,8246,concurrent,5
1000,8288,concurrent,5
1000,8202,concurrent,5
1000,8174,concurrent,5
1000,7963,concurrent,5
1000,7993,concurrent,5
1000,11004,concurrent,5
1000,7956,concurrent,5
1000,7990,concurrent,5
1000,8164,concurrent,5
1000,8075,concurrent,5
1000,8013,concurrent,5